cell_type	retained_rows	retained_adj_p_lt_0_05	min_adj_p_value_retained	min_p_value_retained
B	500	0	0.23489220387287765	0.02617919706364721
CD4_T	500	0	0.2968028255951848	0.016804604239087043
CD8_T	500	0	0.3230884439986967	0.02617919706364721
DC	500	0	0.2681536480813877	0.02617919706364721
Monocyte_CD14	500	0	0.19237929374939586	0.02617919706364721
Monocyte_FCGR3A	500	0	0.5405152224824356	0.03191120476963876
NK	500	0	0.22926350805015525	0.016804604239087043
Plasma	500	0	0.6425130048625771	0.02617919706364721
Platelet	500	0	0.8643457382953181	0.06360256962075367
