cell_type	n_frail	n_healthy_old_non_frail	mean_fraction_frail	mean_fraction_healthy_old_non_frail	effect_mean_difference	cliffs_delta	test	p_value	adj_p_value_bh
B	5	6	0.08666741072547501	0.05110147180091054	0.03556593892456447	0.6	Mann-Whitney U on donor fractions	0.12554112554112554	0.6428571428571429
CD4_T	5	6	0.320835994722598	0.36365238644279446	-0.04281639172019647	-0.06666666666666667	Mann-Whitney U on donor fractions	0.9307359307359306	1.0
CD8_T	5	6	0.05724768358482106	0.11126351511099497	-0.05401583152617391	-0.4666666666666667	Mann-Whitney U on donor fractions	0.24675324675324672	0.6428571428571429
DC	5	6	0.050660612502828564	0.0335923799313396	0.017068232571488963	0.5333333333333333	Mann-Whitney U on donor fractions	0.17748917748917747	0.6428571428571429
Monocyte_CD14	5	6	0.1682500913047146	0.1133082354049409	0.05494185589977371	0.3333333333333333	Mann-Whitney U on donor fractions	0.42857142857142855	0.6428571428571429
Monocyte_FCGR3A	5	6	0.009913110331671	0.014525647684918359	-0.004612537353247358	-0.3333333333333333	Mann-Whitney U on donor fractions	0.42857142857142855	0.6428571428571429
NK	5	6	0.27874317809976457	0.27161059078485233	0.007132587314912231	0.0	Mann-Whitney U on donor fractions	1.0	1.0
Plasma	5	6	0.013134657397637525	0.010013374102244234	0.0031212832953932904	0.4	Mann-Whitney U on donor fractions	0.32900432900432897	0.6428571428571429
Platelet	5	6	0.014547261330489697	0.030932398737004655	-0.016385137406514958	-0.2	Mann-Whitney U on donor fractions	0.6623376623376623	0.8515769944341373
