figure_id	panel_id	panel_title	panel_status	previous_06_status	source_result	data_file	source_script	output_png	exists_source_result	exists_data_file	exists_source_script	exists_output_png	claim_id	plot_type	statistic	caveat	repair_action
Fig1	A	Donor groups locked for analysis	accepted	accepted	processed_data/donor_group_lock.tsv	processed_data/donor_group_lock.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig1_dataset_qc.png	True	True	True	True	C1	bar chart	provenance labels/counts	provenance/QC support; original machine-readable Supplementary Tables 1/2 absent	accepted_traceable_retained_panel
Fig1	B	Sample provenance by platform series	accepted	accepted	processed_data/sample_file_map.tsv	processed_data/sample_file_map.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig1_dataset_qc.png	True	True	True	True	C1	stacked bar chart	labels/platform series	provenance/QC support; original machine-readable Supplementary Tables 1/2 absent	accepted_traceable_retained_panel
Fig1	C	QC-pass cells per donor	accepted	accepted	qc/cell_qc_summary.tsv	qc/qc_by_sample.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig1_dataset_qc.png	True	True	True	True	C2	bar chart	QC-pass cell counts	provenance/QC support; original machine-readable Supplementary Tables 1/2 absent	accepted_traceable_retained_panel
Fig1	D	Per-donor QC diagnostic	accepted	conditional	qc/qc_by_sample.tsv	qc/qc_by_sample.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig1_dataset_qc.png	True	True	True	True	C2	scatter plot	median genes/mitochondrial percentage	provenance/QC support; original machine-readable Supplementary Tables 1/2 absent	accepted_traceable_retained_panel
Fig2	A	Marker support by annotated cell type	accepted	accepted	statistical_results/celltype_marker_support.tsv	processed_data/celltype_counts_by_sample.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig2_annotation_composition.png	True	True	True	True	C4	horizontal bar chart	present marker count	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
Fig2	B	Annotation confidence composition	accepted	conditional	statistical_results/annotation_confidence.tsv	statistical_results/annotation_confidence.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig2_annotation_composition.png	True	True	True	True	C4	stacked horizontal bar chart	annotation confidence counts	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
Fig2	C	Donor-level cell-type fractions	accepted	conditional	processed_data/celltype_fraction_by_donor.tsv	processed_data/celltype_fraction_by_donor.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig2_annotation_composition.png	True	True	True	True	C5	dot plot	mean donor fractions by group	donor-level small-n composition inference; no BH-significant primary composition tests	accepted_traceable_retained_panel
Fig2	D	Composition effect sizes	accepted	accepted	statistical_results/composition_differential.tsv	sensitivity_checks/composition_sensitivity.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig2_annotation_composition.png	True	True	True	True	C5	effect-size bar chart	Mann-Whitney U donor fractions; BH q-values	donor-level small-n composition inference; no BH-significant primary composition tests	accepted_traceable_retained_panel
Fig3	A	Original mixed-series pseudobulk screen	accepted	accepted	statistical_results/de_by_celltype.tsv	processed_data/pseudobulk_design.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig3_transcription_sensitivity.png	True	True	True	True	C6	summary bar chart	minimum BH q per cell type from donor pseudobulk	exploratory/platform-sensitive; strict F-series Monocyte_CD14 sensitivity has no retained BH-significant rows	accepted_traceable_retained_panel
Fig3	B	Targeted NEAT1/MALAT1 checks	accepted	accepted	statistical_results/neat1_malat1_monocyte_check.tsv	statistical_results/neat1_malat1_monocyte_check.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig3_transcription_sensitivity.png	True	True	True	True	C6	bar chart	targeted donor pseudobulk; BH q-values	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
Fig3	C	F-series-only sensitivity	accepted	accepted	sensitivity_checks/mjr001_f_series_summary.tsv	sensitivity_checks/mjr001_f_series_de_by_celltype.tsv	scripts/run_mjr001_platform_sensitivity.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig3_transcription_sensitivity.png	True	True	True	True	C7	summary bar chart	minimum retained BH q; retained q<0.05 rows	exploratory/platform-sensitive; strict F-series Monocyte_CD14 sensitivity has no retained BH-significant rows	accepted_traceable_retained_panel
Fig3	D	MJR-001 repair summary	accepted	conditional	sensitivity_checks/mjr001_closure_summary.json	sensitivity_checks/mjr001_closure_summary.json	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig3_transcription_sensitivity.png	True	True	True	True	C6;C7	text summary panel	frail n=5 vs healthy-old/non-frail F n=3; retained q<0.05 rows=0	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
Fig4	A	Donor TCR diversity	accepted	accepted	statistical_results/clonotype_diversity_by_donor.tsv	statistical_results/tcr_parse_summary.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig4_tcr_diversity.png	True	True	True	True	C8	box plot	descriptive Shannon diversity	descriptive donor-level TCR context only	accepted_traceable_retained_panel
Fig4	B	TCR repertoire size by donor	accepted	conditional	statistical_results/clonotype_diversity_by_donor.tsv	statistical_results/clonotype_diversity_by_donor.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig4_tcr_diversity.png	True	True	True	True	C8	scatter plot	productive contigs and unique clonotypes	descriptive donor-level TCR context only	accepted_traceable_retained_panel
Fig4	C	Top expanded clonotype per donor	accepted	conditional	statistical_results/expanded_clonotypes.tsv	statistical_results/expanded_clonotypes.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig4_tcr_diversity.png	True	True	True	True	C8	horizontal bar chart	maximum expanded clonotype frequency	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
Fig5	A	Group-platform availability diagnostic	accepted	accepted	sensitivity_checks/age_context_summary.tsv	sensitivity_checks/group_contrast_sensitivity.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig5_context_sensitivity.png	True	True	True	True	C9	bar chart	donors and median total cells	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
Fig5	B	F-series composition sensitivity	accepted	accepted	sensitivity_checks/platform_sensitivity.tsv	sensitivity_checks/composition_sensitivity.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig5_context_sensitivity.png	True	True	True	True	C9	effect-size bar chart	F-series-only donor fractions; BH q-values	exploratory/platform-sensitive; strict F-series Monocyte_CD14 sensitivity has no retained BH-significant rows	accepted_traceable_retained_panel
Fig5	C	Secondary contrast sensitivity	accepted	conditional	sensitivity_checks/group_contrast_sensitivity.tsv	sensitivity_checks/group_contrast_sensitivity.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig5_context_sensitivity.png	True	True	True	True	C9	ranked q-value bar chart	BH q-values by secondary contrast	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
Fig5	D	Age/context donor and cell-count summary	accepted	conditional	sensitivity_checks/age_context_summary.tsv	sensitivity_checks/age_context_summary.tsv	scripts/run_sc_analysis.py	D:/cs1/runs/cs1-paper-factory/run_20260529_095727/agents/06-figures/workspace/figures/Fig5_context_sensitivity.png	True	True	True	True	C9	dual-axis bar/line chart	donor counts and median total cells	small donor n and OH/F platform imbalance limit interpretation	accepted_traceable_retained_panel
